0,0.0,0,0.0,0,0.0,0,0.0,5,-0.1
0,0.0,0,0.0,0,0.0,5,-0.2,5,-0.3
0,0.0,0,0.0,5,-0.2,5,-0.4,10,-0.6
0,0.0,5,-0.2,5,-0.5,10,-0.7,10,-1.0
0,-0.2,5,-0.5,10,-0.8,10,-1.0,15,-1.4
5,-0.4,5,-0.8,10,-1.1,15,-1.4,15,-1.8
5,-0.6,10,-1.1,10,-1.5,15,-1.9,15,-2.2
5,-0.8,10,-1.4,15,-1.9,15,-2.4,20,-2.6
0,0.0,0,0.0,0,-0.1,0,-0.4,5,-0.5
0,0.0,0,-0.2,5,-0.3,5,-0.7,10,-0.8
0,-0.2,5,-0.4,5,-0.6,5,-1.0,10,-1.1
0,-0.5,5,-0.7,5,-1.0,10,-1.3,10,-1.4
5,-0.8,5,-1.0,10,-1.4,15,-1.6,15,-1.8
5,-1.1,10,-1.4,10,-1.8,15,-1.9,15,-2.3
5,-1.5,10,-1.9,15,-2.2,15,-2.3,20,-2.8
10,-1.9,10,-2.4,15,-2.6,20,-2.8,20,-3.3
0,0.0,0,-0.3,0,-0.5,5,-0.8,5,-0.9
0,-0.3,0,-0.5,5,-0.8,5,-1.0,10,-1.1
0,-0.6,5,-0.8,5,-1.1,10,-1.3,10,-1.4
5,-0.9,5,-1.1,10,-1.4,10,-1.6,15,-1.8
5,-1.3,10,-1.5,10,-1.8,15,-2.0,15,-2.3
5,-1.8,10,-2.0,15,-2.3,15,-2.5,20,-2.9
10,-2.3,10,-2.6,15,-2.8,15,-3.1,20,-3.5
10,-2.8,15,-3.2,15,-3.3,20,-3.7,20,-4.1
0,-0.4,0,-0.6,5,-0.9,5,-1.1,5,-1.3
0,-0.6,5,-0.9,5,-1.1,10,-1.4,10,-1.6
5,-0.9,5,-1.2,10,-1.4,10,-1.7,15,-1.9
5,-1.3,5,-1.6,10,-1.8,10,-2.1,15,-2.4
5,-1.8,10,-2.1,10,-2.3,15,-2.6,15,-2.9
10,-2.4,10,-2.6,15,-2.9,15,-3.1,20,-3.4
10,-3.0,15,-3.2,15,-3.5,20,-3.7,20,-3.9
10,-3.6,15,-3.8,20,-4.1,20,-4.3,25,-4.5
0,-0.9,5,-1.1,5,-1.4,5,-1.6,5,-1.8
5,-1.1,5,-1.4,5,-1.6,10,-1.9,10,-2.1
5,-1.4,5,-1.7,10,-1.9,10,-2.2,15,-2.5
5,-1.8,10,-2.1,10,-2.3,15,-2.6,15,-2.9
5,-2.3,10,-2.6,15,-2.8,15,-3.1,20,-3.4
10,-2.9,10,-3.1,15,-3.4,20,-3.6,20,-3.9
10,-3.5,15,-3.7,15,-4.0,20,-4.2,25,-4.4
15,-4.1,15,-4.3,20,-4.6,20,-4.8,25,-5.0
